ID;1.vs.22;2.vs.23;3.vs.24;4.vs.25;5.vs.26;6.vs.27;7.vs.28;8.vs.29;9.vs.30;10.vs.31;11.vs.32;12.vs.33;13.vs.34;14.vs.35;15.vs.36;16.vs.37;17.vs.38;18.vs.39;19.vs.40;20.vs.41;21.vs.42
A0A3B6AQG3;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0
A0A3B6CHY0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0
A0A3B6DIS9;1;0;1;1;1;1;1;0;1;0;0;0;1;0;1;1;1;1;1;0;0
A0A3B6EDT2;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;1;1;0;0;0
A0A3B6EGJ9;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;1;1;0;0;0
A0A3B6FJD8;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;1;1;0;0;0
A0A3B6GTR5;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;1;1;0;0;0
A0A3B6EFU3;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
A0A077RQH1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
A0A3B6GSJ9;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
A0A077RTE3;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
A0A3B6ELL9;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
A0A3B6FI96;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
A0A3B6GST8;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
A0A077RXY9;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
A0A3B6GTA4;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
A0A3B6FJP2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
W5D591;1;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0
A0A3B6GZB9;1;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0
A0A3B6ENM3;1;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0
A0A3B6ERE2;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0
A0A3B6EPQ6;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0
A0A3B6EQG0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0
A0A3B6ER29;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0
A0A3B6H6X9;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0
A0A3B6H4H6;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0
A0A3B6H0X0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0
A0A3B6ET27;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0
A0A3B6FYT2;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0
M5EEY5;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0
A0A3B6MV42;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0
A0A3B6KJW4;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0
A0A3B6MW87;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0
A0A3B6LQ68;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0
A0A3B6KLM7;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0
A0A3B6FXF5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
